"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.0005,-1.36804021172938E-010
0.001,-1.45840107440849E-008
0.051,0.00618168429271525
0.101,0.0452414806482583
0.151,0.16184654931568
0.201,0.397033764363929
0.251,0.850370160075557
0.301,1.56753899261222
0.351,2.3060806828471
0.3983,2.85158999911867
0.4483,2.9912256579381
0.4983,2.97573874665285
0.5483,3.11116021698587
0.5983,3.30610549703251
0.6483,3.33580455849266
0.6983,3.45231310457027
0.7483,3.66320500494454
0.7983,3.76484506754987
0.8483,3.82958999541149
0.8983,3.96535226076397
0.9483,4.03252918238955
0.9983,3.95634234336267
1.0483,4.02483083516232
1.0983,4.09262011689609
1.1483,4.02762878884607
1.17465,4.02670091207408
1.17515,4.02762093895468
1.17565,4.01038364233169
1.19835,3.29841497974381
1.22205,2.70200600907418
1.2467,2.27241851490845
1.25855,2.10748244031606
1.25905,2.10075471794981
1.25955,2.09399248982301
1.29455,1.70675101379897
1.33735,1.39171525959143
1.38735,1.25871832644354
1.43735,1.23702524996677
1.48735,1.39344518525667
1.53735,1.90113375709988
1.58735,2.6928125473359
1.63735,3.20105901705473
1.68735,3.22593154368484
1.73735,3.37928807403135
1.78735,3.44143628258123
1.83735,3.48308256149836
1.88735,3.55710975947658
1.93735,3.73623084815276
1.98735,3.75376502234655
2.03735,3.89505018628825
2.08735,4.13406171856393
2.13735,4.15327699027984
2.18735,4.19218261903386
2.23735,4.26472321732629
2.28735,4.24223717731979
2.33735,4.16693873916379
2.38735,4.2157610870104
2.4332,4.34916122643122
2.4337,4.34735778866099
2.4342,4.32810090781827
2.4571,3.48713350039905
2.4809,2.77769883921312
2.5054,2.23973113102023
2.5171,2.06794684790122
2.5176,2.06145581053775
2.5181,2.05505910940696
2.55125,1.7216578945671
2.59125,1.50105608585962
2.64125,1.25168348151813
2.69125,1.10229071110175
2.74125,1.21809987451498
2.79125,1.59111797229729
2.84125,2.21299913288918
2.89125,2.68768673764611
2.94105,2.90507827901036
2.99105,2.88592123426731
3.04105,2.96250233276009
3.09105,3.09574146989448
3.14105,3.12332263523449
3.19105,3.18705998006494
3.24105,3.27921079404898
3.29105,3.4168800430688
3.34105,3.51627963461377
3.39105,3.61485683379519
3.44105,3.73017527935447
3.49105,3.70343230399211
3.54105,3.72886819803158
3.59105,3.79012324179399
3.64105,3.75820104925293
3.69105,3.7889175171079
3.69175,3.79068079453467
3.69225,3.79121506383548
3.69275,3.77379239004109
3.7152,3.05967433763759
3.73885,2.47793684610464
3.76415,2.08735097652761
3.77565,1.93360285062637
3.77615,1.92798753989754
3.77665,1.92251428146594
