"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]","Current(PhaseD) [A]"
0,0,0,0,0
0.0005,0.000145383995369243,0.000137401461541818,0.000133873383075696,0.000137893367866719
0.001,0.0088750568770499,0.000132529826447748,0.00014649077825798,0.000161934701522087
0.051,0.864606450284996,0.000132582704804175,0.000147681517493821,0.00016388018112689
0.101,1.68309421735736,0.000133585950683605,0.000147257226442509,0.000164350239917023
0.151,2.43692928936107,0.000134631011726858,0.000146837788293821,0.000164644423980992
0.201,3.08845741691531,0.000135831257212929,0.000146502350418386,0.000164641318482732
0.251,3.62556216620258,0.000137473998309364,0.000146197715850241,0.000164841219065954
0.301,3.97961824465894,0.000138757707094719,0.000145822696068509,0.000164183617479496
0.351,4.08645959735593,0.000141396954780719,0.000145774628226239,0.00016284565979675
0.3983,4.11143112975109,0.00014309969238119,0.000145519926114179,0.000162121267288845
0.4483,4.25434887349902,0.000144765900590678,0.000145484459588316,0.000161959762250588
0.4983,4.40187722622121,0.00014604108349139,0.000145425838839535,0.000161477688348823
0.5483,4.52636164551177,0.000146790689042574,0.000145458317375305,0.000161903369931473
0.5983,4.66196473898749,0.000148604023698304,0.000145481116248765,0.000163210867066089
0.6483,4.78695666625161,0.000149108646619597,0.000145570792400433,0.000164146840438194
0.6983,4.88629380887568,0.000150258101200293,0.00014557113743134,0.000164468773238759
0.7483,4.98430317017566,0.000152044095474889,0.000145427608950649,0.000164540663114628
0.7983,5.06922986347779,0.000152543783610293,0.000145374868935153,0.000164056868809763
0.8483,5.14812855195816,0.000154197610584485,0.000145036455429624,0.000163414713146321
0.8983,5.2287815412791,0.000154779350396079,0.000144754545758898,0.000162162512696953
0.9483,5.31519419658872,0.000153966888143637,0.000144364951396571,0.00016112388841015
0.9983,5.40083772278295,0.000150883116034414,0.000144344983214242,0.000159608481944863
1.0483,5.47735818527118,0.000148797365122078,0.000144580639493896,0.000158899573315415
1.0983,5.58410050718626,0.000148059896765579,0.000144785616841078,0.000160797057696082
1.1483,5.69427326977358,0.000147054721311415,0.000145532528380582,0.000162116374281662
1.17465,5.74766807461993,0.0001465049764088,0.000146021547432014,0.000163560659483406
1.17515,5.74883609698138,0.000146232313429103,0.000146215472895844,0.000164098207076483
1.17565,5.73316580644288,0.000153338309639794,0.00015254388919626,0.000133130000047511
1.19835,5.06132199872142,0.000153096481363777,0.000153602127663524,0.00012957351266137
1.22205,4.47249969242219,0.000152366372552839,0.000153583508797255,0.000130571708298606
1.2467,4.01720119446543,0.000152390952576564,0.000153555408548457,0.000132026140465806
1.25855,3.83560588484802,0.000152007286283426,0.000153603122646672,0.000132714354678117
1.25905,3.82833912139022,0.000151748823972077,0.000153610809025567,0.0001332740841592
1.25955,3.82090904701919,0.00909026895849375,0.000169153312260759,0.000137628879495115
1.29455,3.37801710346252,0.624276762071099,0.000169412116949419,0.0001383994922861
1.33735,2.98081083765732,1.34730212131057,0.000166467544389535,0.000137491197156475
1.38735,2.62681772005772,2.13036383135628,0.000163242544188107,0.000134375686366091
1.43735,2.34561162134061,2.82951654448421,0.000160894856987804,0.000132092344859058
1.48735,2.09103051817883,3.40877568058323,0.000159515898054524,0.000131716340202379
1.53735,1.87659597361662,3.85071809496567,0.000158146726308732,0.000133900565338053
1.58735,1.68057625081699,4.00712544772072,0.000156831175271418,0.000130009195771463
1.63735,1.49042274271505,4.10411242526559,0.000155862314975816,0.000121831101906303
1.68735,1.30953071631403,4.26234922372414,0.000156034661060107,0.00012031779232745
1.73735,1.13052840656458,4.44067017051718,0.000156305392300386,0.000123010567403354
1.78735,0.95764530792757,4.61489838923955,0.000155916497639202,0.000125733954686465
1.83735,0.790548197553571,4.77536420774323,0.000154432276402946,0.000129078128718725
